src,dest
Agent_optimization_20260504_104158.log,logs/2026-05
Agent_optimization_20260504_104210.log,logs/2026-05
Agent_optimization_20260504_104234.log,logs/2026-05
Agent_optimization_20260504_104615.log,logs/2026-05
Agent_optimization_20260504_115110.log,logs/2026-05
Agent_optimization_20260504_144410.log,logs/2026-05
Agent_optimization_20260504_145245.log,logs/2026-05
Agent_optimization_20260504_145325.log,logs/2026-05
Agent_optimization_20260504_145401.log,logs/2026-05
Agent_optimization_20260506_150038.log,logs/2026-05
Agent_optimization_20260506_214039.log,logs/2026-05
Agent_optimization_20260506_232216.log,logs/2026-05
Agent_optimization_20260506_234610.log,logs/2026-05
Agent_optimization_20260507_102757.log,logs/2026-05
Agent_optimization_20260507_113841.log,logs/2026-05
Agent_optimization_20260507_120510.log,logs/2026-05
Agent_optimization_20260507_123454.log,logs/2026-05
Agent_optimization_20260507_124639.log,logs/2026-05
Agent_optimization_20260507_130721.log,logs/2026-05
Agent_optimization_20260507_153533.log,logs/2026-05
Agent_optimization_20260507_154112.log,logs/2026-05
Agent_optimization_20260507_155222.log,logs/2026-05
Agent_optimization_20260507_163611.log,logs/2026-05
Agent_optimization_20260508_101156.log,logs/2026-05
Agent_optimization_20260508_105746.log,logs/2026-05
Agent_optimization_20260508_163331.log,logs/2026-05
Agent_optimization_20260508_170958.log,logs/2026-05
Agent_optimization_20260511_110101.log,logs/2026-05
Agent_optimization_20260511_111854.log,logs/2026-05
Agent_optimization_20260511_115250.log,logs/2026-05
Agent_optimization_20260511_121118.log,logs/2026-05
Agent_optimization_20260511_123223.log,logs/2026-05
Agent_optimization_20260511_130952.log,logs/2026-05
Agent_optimization_20260511_145036.log,logs/2026-05
Agent_optimization_20260511_151221.log,logs/2026-05
Agent_optimization_20260511_160056.log,logs/2026-05
Agent_optimization_20260511_173328.log,logs/2026-05
Agent_optimization_20260512_112446.log,logs/2026-05
Agent_optimization_20260512_114532.log,logs/2026-05
Agent_optimization_20260512_151052.log,logs/2026-05
Agent_optimization_20260512_170611.log,logs/2026-05
Agent_optimization_20260512_174616.log,logs/2026-05
Agent_optimization_20260513_131948.log,logs/2026-05
Agent_optimization_20260513_135236.log,logs/2026-05
Agent_optimization_20260513_210733.log,logs/2026-05
Agent_optimization_20260514_103459.log,logs/2026-05
Agent_optimization_20260514_122046.log,logs/2026-05
Agent_optimization_20260514_154637.log,logs/2026-05
Agent_optimization_20260514_171233.log,logs/2026-05
Agent_optimization_20260514_211825.log,logs/2026-05
Agent_optimization_20260515_093348.log,logs/2026-05
Agent_optimization_20260515_125123.log,logs/2026-05
Agent_optimization_20260515_145150.log,logs/2026-05
Agent_optimization_20260515_150938.log,logs/2026-05
Agent_optimization_20260515_170026.log,logs/2026-05
Agent_optimization_20260515_171203.log,logs/2026-05
Agent_optimization_20260515_185537.log,logs/2026-05
Agent_optimization_20260515_190132.log,logs/2026-05
Agent_optimization_20260516_093802.log,logs/2026-05
Agent_optimization_20260516_135702.log,logs/2026-05
Agent_optimization_20260516_135730.log,logs/2026-05
Agent_optimization_20260516_190544.log,logs/2026-05
Agent_optimization_20260517_110448.log,logs/2026-05
Agent_optimization_20260518_104921.log,logs/2026-05
Agent_optimization_20260518_175129.log,logs/2026-05
Agent_optimization_20260519_095546.log,logs/2026-05
Agent_optimization_20260519_120523.log,logs/2026-05
Agent_optimization_20260519_153034.log,logs/2026-05
Agent_optimization_20260520_092409.log,logs/2026-05
Agent_optimization_20260520_104602.log,logs/2026-05
Agent_optimization_20260521_123100.log,logs/2026-05
Agent_optimization_20260522_112451.log,logs/2026-05
Agent_optimization_20260522_121501.log,logs/2026-05
Agent_optimization_20260522_145606.log,logs/2026-05
Agent_optimization_20260522_172620.log,logs/2026-05
Agent_optimization_20260528_172954.log,logs/2026-05
Agent_optimization_20260528_174346.log,logs/2026-05
Agent_optimization_20260531_103719.log,logs/2026-05
Agent_optimization_20260531_103746.log,logs/2026-05
Agent_optimization_20260531_103947.log,logs/2026-05
Agent_optimization_20260531_105312.log,logs/2026-05
Agent_optimization_20260531_105446.log,logs/2026-05
Agent_optimization_20260531_105507.log,logs/2026-05
Agent_optimization_20260531_223324.log,logs/2026-05
Agent_optimization_20260603_175757.log,logs/2026-06
Agent_optimization_20260603_175829.log,logs/2026-06
Agent_optimization_20260617_161648.log,logs/2026-06
Agent_optimization_20260618_155534.log,logs/2026-06
Agent_optimization_20260625_123800.log,logs/2026-06
Agent_optimization_20260625_123918.log,logs/2026-06
Agent_optimization_20260625_123923.log,logs/2026-06
Agent_optimization_20260625_123928.log,logs/2026-06
Agent_optimization_20260625_140857.log,logs/2026-06
Agent_optimization_20260625_195157.log,logs/2026-06
Agent_optimization_20260625_195319.log,logs/2026-06
Agent_optimization_20260625_195348.log,logs/2026-06
Agent_optimization_20260628_190416.log,logs/2026-06
Agent_optimization_20260629_155408.log,logs/2026-06
Agent_optimization_20260629_155452.log,logs/2026-06
Agent_optimization_20260629_155555.log,logs/2026-06
Agent_optimization_20260629_161321.log,logs/2026-06
Agent_optimization_20260630_105258.log,logs/2026-06
Agent_optimization_20260630_111129.log,logs/2026-06
Agent_optimization_20260630_113418.log,logs/2026-06
Agent_optimization_20260630_113446.log,logs/2026-06
Agent_optimization_20260630_210730.log,logs/2026-06
Agent_optimization_20260701_105640.log,logs/2026-07
Agent_optimization_20260701_111305.log,logs/2026-07
Agent_optimization_20260701_112802.log,logs/2026-07
Agent_optimization_20260701_112955.log,logs/2026-07
Agent_optimization_20260701_161237.log,logs/2026-07
Agent_optimization_20260701_161303.log,logs/2026-07
Agent_optimization_20260706_155345.log,logs/2026-07
Agent_optimization_20260706_155433.log,logs/2026-07
Agent_optimization_20260706_155449.log,logs/2026-07
Agent_optimization_20260707_110226.log,logs/2026-07
Agent_optimization_20260707_110240.log,logs/2026-07
Agent_optimization_20260707_121837.log,logs/2026-07
Agent_optimization_20260707_122002.log,logs/2026-07
Agent_optimization_20260707_122731.log,logs/2026-07
Agent_optimization_20260707_122754.log,logs/2026-07
Agent_optimization_20260707_122832.log,logs/2026-07
Agent_optimization_20260707_122916.log,logs/2026-07
Agent_optimization_20260707_125200.log,logs/2026-07
Agent_optimization_20260708_173013.log,logs/2026-07
Agent_optimization_20260708_173345.log,logs/2026-07
Agent_optimization_20260708_173423.log,logs/2026-07
Agent_optimization_20260708_173459.log,logs/2026-07
Agent_optimization_20260708_173558.log,logs/2026-07
Agent_optimization_20260708_173809.log,logs/2026-07
Agent_optimization_20260709_113529.log,logs/2026-07
Agent_optimization_20260710_111806.log,logs/2026-07
Agent_optimization_20260715_142811.log,logs/2026-07
Agent_optimization_20260715_142905.log,logs/2026-07
Agent_optimization_20260715_142925.log,logs/2026-07
Agent_optimization_20260716_113222.log,logs/2026-07
Agent_optimization_20260716_113254.log,logs/2026-07
Agent_optimization_20260716_113258.log,logs/2026-07
Agent_optimization_20260716_115234.log,logs/2026-07
Agent_optimization_20260716_120416.log,logs/2026-07
Agent_optimization_20260716_121234.log,logs/2026-07
Agent_optimization_20260716_121632.log,logs/2026-07
Agent_optimization_20260716_121702.log,logs/2026-07
Agent_optimization_20260716_121850.log,logs/2026-07
Agent_optimization_20260716_122637.log,logs/2026-07
_optuna_scratch,results/archive/misc
_v,results/archive/misc
curve-llama3,results/q2-curves
curve-nemotron,results/q2-curves
curve-phi,results/q2-curves
llm_behavior_analysis,results/archive/misc
motion-gemma4-v2,results/motion
motion-gemma4,results/motion
motion-qwen-noprofile-v2,results/motion
motion-qwen-noprofile,results/motion
motion-qwen-v2,results/motion
motion-qwen3,results/motion
motion-random-v2,results/motion
motion-random,results/motion
opro-qwen,results/point3
outputs-0413-qwen2.5-coder,results/archive/model-sweep
outputs-0413-qwen3.5-2b,results/archive/model-sweep
outputs-0413-qwen3.5,results/archive/model-sweep
outputs-0414-llama3.1-8b,results/archive/model-sweep
outputs-0414-qwen2.5-coder,results/archive/model-sweep
outputs-0416-qwen2.5-coder,results/archive/model-sweep
outputs-0417-llama3.2-1b,results/archive/model-sweep
outputs-0420-llama3-8b,results/archive/model-sweep
outputs-0420-llama3.2-1b,results/archive/model-sweep
outputs-0420-qwen3-8b,results/archive/model-sweep
outputs-0421-llama3.2-1b,results/archive/model-sweep
outputs-0421-llama3.2-3b,results/archive/model-sweep
outputs-0421-qwen2.5-coder-3b,results/archive/model-sweep
outputs-0421-qwen3-8b,results/archive/model-sweep
outputs-0422-LLama3.2-1bbb,results/archive/model-sweep
outputs-0422-llama3-8b,results/archive/model-sweep
outputs-0422-llama3.2-3b,results/archive/model-sweep
outputs-0423-llama3.2-1b,results/archive/model-sweep
outputs-0423-llama38b,results/archive/model-sweep
outputs-0423-qwen3-8b,results/archive/model-sweep
outputs-0423-qwen35-2b,results/archive/model-sweep
outputs-0423-qwen38-bbb,results/archive/model-sweep
outputs-0424-qwen2.5-coder,results/archive/model-sweep
outputs-0424-qwen2.5-coder30,results/archive/model-sweep
outputs-0427-llama32-1b,results/archive/model-sweep
outputs-0427-llama32-3b,results/archive/model-sweep
outputs-0428-llama3.2-3b,results/archive/model-sweep
outputs-0428-llama32-3b,results/archive/model-sweep
outputs-0428-qwen2.5-coder-3b,results/archive/model-sweep
outputs-0428-qwen3-8b,results/archive/model-sweep
outputs-0430-gemma3-4b,results/archive/model-sweep
outputs-0430-llama3.2-3b,results/archive/model-sweep
outputs-0430-qwen3-4b,results/archive/model-sweep
outputs-0502-llama3.2-3b,results/archive/model-sweep
outputs-0502-qwen3.5-4b,results/archive/model-sweep
outputs-0503-gemma3-4b,results/archive/model-sweep
outputs-0503-llama3-8b,results/archive/model-sweep
outputs-0503-llama3.2-1b,results/archive/model-sweep
outputs-0504-kimi,results/archive/model-sweep
outputs-0504-llama3.2-3b,results/archive/model-sweep
outputs-0505-Phi3-mini,results/archive/model-sweep
outputs-0505-llama3.2-3bb,results/archive/model-sweep
outputs-0605-Google,results/archive/model-sweep
outputs-0605-Phi3mini,results/archive/model-sweep
outputs-0605-deepseek,results/archive/model-sweep
outputs-0605-gemma3-4b,results/archive/model-sweep
outputs-0605-llama38b,results/archive/model-sweep
outputs-0705-Nvidia,results/archive/model-sweep
outputs-0705-Qwen3-8B,results/archive/model-sweep
outputs-0705-llama3.2-1b,results/archive/model-sweep
outputs-0705-llama3.2-3b,results/archive/model-sweep
outputs-0705-qwen32b,results/archive/model-sweep
outputs-0805-Phi3-mini,results/archive/model-sweep
outputs-0805-gemma34b,results/archive/model-sweep
outputs-0805-llama3.1-8b,results/archive/model-sweep
outputs-0805-qwen2.5-coder-3b,results/archive/model-sweep
outputs-1105-gemma3-4b,results/archive/model-sweep
outputs-1105-llama3-nomotion,results/motion
outputs-1105-llama3.1-8b,results/archive/model-sweep
outputs-1105-llama3.2,results/archive/model-sweep
outputs-1105-llama3.233bb,results/archive/model-sweep
outputs-1105-llama3.2Hossein,results/archive/model-sweep
outputs-1105-llama3s,results/archive/model-sweep
outputs-1105-nemotron3,results/archive/model-sweep
outputs-1105-qwen2.5-coder3b,results/archive/model-sweep
outputs-1105-qwen3,results/archive/model-sweep
outputs-1205-nemotron-3-nano-4b-motion,results/motion
outputs-1205-phi4-mini-3.8b-motion,results/motion
outputs-1205-qwen3-motion,results/motion
outputs-1305-llama3.1-8b-motion-3,results/motion
outputs-1505-llama3.1-8b-motion,results/motion
outputs-1505-llamasmoke-motion,results/motion
outputs-1505-phi4-mini-3.8b-motion-3,results/motion
outputs-1505-qwen3-8b-motion-3,results/motion
outputs-1505-qwen3.5-4b-motion-3,results/motion
outputs-1505-qwensomked-motion,results/motion
outputs-2205-llama38b,results/archive/model-sweep
outputs-2205-qwen38b,results/archive/model-sweep
outputs-ablation-repair-off-gemma34b-fixed,results/repair-ablation
outputs-ablation-repair-off-gemma34b,results/repair-ablation
outputs-ablation-repair-off-llama3.18b,results/repair-ablation
outputs-ablation-repair-off-phi4-mini,results/repair-ablation
outputs-ablation-repair-on-gemma34b,results/repair-ablation
outputs-ablation-repair-on-llama3.18b,results/repair-ablation
outputs-ablation-repair-on-phi4-mini,results/repair-ablation
outputs-baseline-rerun,results/baseline
outputs-minimax-m2.5-cloud,results/cloud-models
outputs-minimax-m2.5-new,results/cloud-models
outputs-minimax-m2.7-new,results/cloud-models
outputs-motion-off,results/motion
outputs-motion-on,results/motion
outputs-motion-refs-cap,results/motion
outputs-motion-refs-ir,results/motion
outputs-motion-refs-v2,results/motion
outputs-motion-refs,results/motion
outputs-multi-Radar-tools,results/archive/misc
outputs-nemotron-3-super-cloudnew,results/cloud-models
outputs-nemotron3super,results/cloud-models
outputs-new-Radar-tools,results/archive/misc
outputs-norepair-llama3.1-8b,results/repair-ablation
outputs-optuna-sweep-smoke,results/archive/misc
outputs-point3-Phi4mini,results/point3
outputs-point3-llama3-motionrule,results/motion
outputs-point3-minimax-m2.5-cloud,results/point3
outputs-point3-qwen3-nomotion,results/motion
outputs-point3-qwen34b,results/point3
outputs-point3-qwen38b,results/point3
outputs-point3-qwen38bb,results/point3
outputs-qwen3-coder-480b-cloud,results/cloud-models
outputs-qwen3-coder-480b,results/cloud-models
outputs-qwen3-fixed-480b-cloud,results/cloud-models
outputs,results/baseline
prompt-gemma4,results/prompt-ablation
prompt-llama3,results/prompt-ablation
prompt-nemotron,results/prompt-ablation
prompt-phi,results/prompt-ablation
prompt-qwen,results/prompt-ablation
q3-empty-gemma4,results/q3-history
q3-empty-llama,results/q3-history
q3-empty-llama10,results/q3-history
q3-empty-nemotron,results/q3-history
q3-empty-phi,results/q3-history
q3-empty,results/q3-history
q3-none-gemma4,results/q3-history
q3-none-llama,results/q3-history
q3-none-llama10,results/q3-history
q3-none-nemotron,results/q3-history
q3-none-phi,results/q3-history
q3-none,results/q3-history
q3-shuffled-gemma4,results/q3-history
q3-shuffled-llama,results/q3-history
q3-shuffled-llama10,results/q3-history
q3-shuffled-n,results/q3-history
q3-shuffled-nemotron,results/q3-history
q3-shuffled-phi,results/q3-history
Agent-Output-parse-validate.docx,reports
Email-2.docx,reports
Email-3.docx,reports
Email-4.docx,reports
Email-5.docx,reports
Email-6.docx,reports
Email-7.docx,reports
Email.docx,reports
Email4_Report_Q2-Q4.docx,reports
Email5_Stronger_Models_Report.docx,reports
Email5_Stronger_Models_Report_2026070713144.docx,reports
Email6_Preview_Report.docx,reports
Email6_Report.docx,reports
Point3_Report.docx,reports
Point3_Report_v2.docx,reports
Q2_curve_summaries_report.docx,reports
Q3_history_use_report.docx,reports
Q4_exploration_report.docx,reports
Repair_Ablation_Report.docx,reports
change_report_so_far.docx,reports
human_knowledge_report.docx,reports
transcript_outputs-0503-llama3-8b_seed_8532.docx,reports
transcript_outputs-0503-llama3-8b_seed_8934.docx,reports
Agent-Output-parse-validate.pdf,reports
Baseline Setup-Compare rule-based.pdf,reports
LLM-motion-aware.pdf,reports
LLM_Optimizer_Behavior_Reportv2.pdf,reports
Repair_Ablation_Report.pdf,reports
Report-LLM-study.pdf,reports
Stronger_Models_Report.pdf,reports
modifications_report.pdf,reports
report_v2.pdf,reports
Point3_Presentation.pptx,reports/slides
Point3_Presentation_v2.pptx,reports/slides
Point3_Presentation_v3.pptx,reports/slides
Repair_Ablation_Presentation.pptx,reports/slides
llm_report.html,reports
human_knowledge_report.md,reports/writeups
transcript_outputs-0503-llama3-8b_seed_8532.md,reports/writeups
transcript_outputs-0503-llama3-8b_seed_8934.md,reports/writeups
docs/email5_stronger_models_report.md,reports/writeups
docs/email6_preview_report.md,reports/writeups
docs/experiment_plan_email4.md,reports/writeups
docs/q2_curve_summaries_writeup.md,reports/writeups
docs/q3_history_use_writeup.md,reports/writeups
docs/q4_exploration_writeup.md,reports/writeups
analyze_baseline_hp_trajectory.py,scripts
analyze_llm_behavior.py,scripts
analyze_llm_behavior_q3.py,scripts
analyze_logs.py,scripts
analyze_motion_experiment.py,scripts
analyze_motion_paired.py,scripts
analyze_motion_reasoning.py,scripts
analyze_q2_curves.py,scripts
analyze_q3_ablation.py,scripts
analyze_q4_exploration.py,scripts
_motion_plots.py,scripts
build_transcripts.py,scripts
statistical_analysis.py,scripts
failure_taxonomy.py,scripts
run_baseline_only.py,scripts
run_optuna_sampler_sweep.py,scripts
augment_optuna.py,scripts
build_email5_report_docx.js,scripts/report_builders
build_email6_report_docx.js,scripts/report_builders
build_point3_report.js,scripts/report_builders
build_point3_slides.js,scripts/report_builders
build_postfix_report_docx.js,scripts/report_builders
build_repair_report.js,scripts/report_builders
build_repair_slides.js,scripts/report_builders
build_report_docx.js,scripts/report_builders
build_transcripts_docx.js,scripts/report_builders
build_v3_report_docx.js,scripts/report_builders
Proton VPN.lnk,_attic
Agent_optimization_20260428_122915.rar,_attic
main.txt,_attic
outputs-baseline-rerun_console.txt,_attic
refs_v2_console.txt,_attic
Agent_optimization_20260529_074405.log,logs/2026-05
Agent_optimization_20260529_094729.log,logs/2026-05
Agent_optimization_20260529_133248.log,logs/2026-05
Agent_optimization_20260529_161834.log,logs/2026-05
Agent_optimization_20260531_094656.log,logs/2026-05
Agent_optimization_20260531_204617.log,logs/2026-05
Agent_optimization_20260601_080905.log,logs/2026-06
Agent_optimization_20260601_110059.log,logs/2026-06
Agent_optimization_20260604_085539.log,logs/2026-06
Agent_optimization_20260608_150750.log,logs/2026-06
Agent_optimization_20260609_092442.log,logs/2026-06
Agent_optimization_20260625_130943.log,logs/2026-06
Agent_optimization_20260625_131053.log,logs/2026-06
Agent_optimization_20260625_195157.log,_attic/duplicate-logs
Agent_optimization_20260625_195319.log,_attic/duplicate-logs
Agent_optimization_20260625_195348.log,_attic/duplicate-logs
Agent_optimization_20260626_084427.log,logs/2026-06
Agent_optimization_20260626_084506.log,logs/2026-06
Agent_optimization_20260626_084721.log,logs/2026-06
Agent_optimization_20260626_101826.log,logs/2026-06
Agent_optimization_20260626_101846.log,logs/2026-06
Agent_optimization_20260626_101920.log,logs/2026-06
Agent_optimization_20260628_080358.log,logs/2026-06
Agent_optimization_20260628_080449.log,logs/2026-06
Agent_optimization_20260628_080523.log,logs/2026-06
Agent_optimization_20260628_170329.log,logs/2026-06
Agent_optimization_20260628_170353.log,logs/2026-06
Agent_optimization_20260628_170417.log,logs/2026-06
Agent_optimization_20260629_141944.log,logs/2026-06
Agent_optimization_20260629_142440.log,logs/2026-06
Agent_optimization_20260629_211014.log,logs/2026-06
Agent_optimization_20260630_094305.log,logs/2026-06
Agent_optimization_20260630_094329.log,logs/2026-06
Agent_optimization_20260630_094509.log,logs/2026-06
Agent_optimization_20260703_134050.log,logs/2026-07
Agent_optimization_20260703_134245.log,logs/2026-07
Agent_optimization_20260703_134320.log,logs/2026-07
Agent_optimization_20260703_134410.log,logs/2026-07
Agent_optimization_20260704_200215.log,logs/2026-07
Agent_optimization_20260704_200317.log,logs/2026-07
Agent_optimization_20260704_200342.log,logs/2026-07
Agent_optimization_20260704_200434.log,logs/2026-07
Agent_optimization_20260705_153803.log,logs/2026-07
Agent_optimization_20260705_154307.log,logs/2026-07
Agent_optimization_20260706_071842.log,logs/2026-07
Agent_optimization_20260706_085436.log,logs/2026-07
Agent_optimization_20260706_090356.log,logs/2026-07
Agent_optimization_20260706_090702.log,logs/2026-07
Agent_optimization_20260706_091004.log,logs/2026-07
Agent_optimization_20260706_091247.log,logs/2026-07
Agent_optimization_20260706_101635.log,logs/2026-07
Agent_optimization_20260706_122734.log,logs/2026-07
Agent_optimization_20260706_130216.log,logs/2026-07
Agent_optimization_20260706_132558.log,logs/2026-07
Agent_optimization_20260706_132827.log,logs/2026-07
Agent_optimization_20260706_141230.log,logs/2026-07
Agent_optimization_20260706_142112.log,logs/2026-07
Agent_optimization_20260706_144848.log,logs/2026-07
Agent_optimization_20260706_145113.log,logs/2026-07
Agent_optimization_20260706_145143.log,logs/2026-07
Agent_optimization_20260707_123916.log,logs/2026-07
Agent_optimization_20260709_113337.log,logs/2026-07
Agent_optimization_20260709_113529.log,_attic/duplicate-logs
Agent_optimization_20260710_100111.log,logs/2026-07
Agent_optimization_20260715_131353.log,logs/2026-07
Agent_optimization_20260715_131743.log,logs/2026-07
Agent_optimization_20260715_131920.log,logs/2026-07
Agent_optimization_20260716_064852.log,logs/2026-07
Agent_optimization_20260716_064937.log,logs/2026-07
